profile_id,variant,timely_success,eventual_success
profile_000001,control,1,1
profile_000002,treatment,0,1
profile_000003,control,0,1
profile_000004,control,0,0
profile_000005,treatment,0,1
profile_000006,treatment,1,1
profile_000007,control,1,1
profile_000008,treatment,1,1
profile_000009,control,1,1
profile_000010,control,1,1
profile_000011,control,1,1
profile_000012,treatment,1,1
profile_000013,control,1,1
profile_000014,treatment,0,0
profile_000015,treatment,1,1
profile_000016,treatment,1,1
profile_000017,treatment,0,0
profile_000018,control,1,1
profile_000019,control,1,1
profile_000020,control,1,1
profile_000021,control,1,1
profile_000022,control,1,1
profile_000023,treatment,1,1
profile_000024,treatment,1,1
profile_000025,control,1,1
profile_000026,treatment,1,1
profile_000027,treatment,1,1
profile_000028,treatment,1,1
profile_000029,treatment,1,1
profile_000030,treatment,0,0
profile_000031,treatment,0,1
profile_000032,control,1,1
profile_000033,control,1,1
profile_000034,control,1,1
profile_000035,treatment,1,1
profile_000036,treatment,1,1
profile_000037,treatment,1,1
profile_000038,treatment,1,1
profile_000039,control,1,1
profile_000040,control,1,1
profile_000041,treatment,1,1
profile_000042,control,1,1
profile_000043,treatment,1,1
profile_000044,control,1,1
profile_000045,control,0,0
profile_000046,control,0,1
profile_000047,control,1,1
profile_000048,control,1,1
profile_000049,treatment,0,1
profile_000050,control,1,1
profile_000051,control,1,1
profile_000052,treatment,1,1
profile_000053,treatment,0,0
profile_000054,treatment,1,1
profile_000055,treatment,0,1
profile_000056,control,1,1
profile_000057,control,1,1
profile_000058,control,1,1
profile_000059,treatment,1,1
profile_000060,control,1,1
profile_000061,treatment,1,1
profile_000062,treatment,1,1
profile_000063,treatment,1,1
profile_000064,control,0,0
profile_000065,control,0,0
profile_000066,treatment,0,0
profile_000067,control,1,1
profile_000068,control,1,1
profile_000069,treatment,1,1
profile_000070,treatment,1,1
profile_000071,treatment,1,1
profile_000072,control,1,1
profile_000073,treatment,0,1
profile_000074,treatment,0,0
profile_000075,treatment,0,0
profile_000076,treatment,0,0
profile_000077,treatment,0,0
profile_000078,control,1,1
profile_000079,control,0,0
profile_000080,control,0,1
profile_000081,control,1,1
profile_000082,control,1,1
profile_000083,treatment,0,1
profile_000084,control,1,1
profile_000085,control,0,1
profile_000086,treatment,1,1
profile_000087,control,0,1
profile_000088,control,0,0
profile_000089,control,1,1
profile_000090,control,0,1
profile_000091,control,1,1
profile_000092,treatment,0,1
profile_000093,treatment,1,1
profile_000094,control,0,0
profile_000095,treatment,0,1
profile_000096,control,1,1
profile_000097,treatment,1,1
profile_000098,control,0,1
profile_000099,treatment,0,0
profile_000100,treatment,0,1
profile_000101,treatment,1,1
