control_timely_rate,mde_absolute,alpha,target_power,primary_n_per_arm,primary_n_total
0.4,0.01,0.05,0.9,50639,101278
0.4,0.02,0.05,0.9,12707,25414
0.4,0.03,0.05,0.9,5667,11334
0.4,0.05,0.05,0.9,2053,4106
0.5,0.01,0.05,0.9,52530,105060
0.5,0.02,0.05,0.9,13127,26254
0.5,0.03,0.05,0.9,5831,11662
0.5,0.05,0.05,0.9,2095,4190
0.6,0.01,0.05,0.9,50219,100438
0.6,0.02,0.05,0.9,12497,24994
0.6,0.03,0.05,0.9,5527,11054
0.6,0.05,0.05,0.9,1969,3938
0.7,0.01,0.05,0.9,43704,87408
0.7,0.02,0.05,0.9,10816,21632
0.7,0.03,0.05,0.9,4757,9514
0.7,0.05,0.05,0.9,1674,3348
