profile_id,variant,timely_success,eventual_success
profile_000001,control,1,1
profile_000002,treatment,0,0
profile_000003,treatment,1,1
profile_000004,control,1,1
profile_000005,control,1,1
profile_000006,treatment,1,1
profile_000007,control,1,1
profile_000008,control,0,1
profile_000009,treatment,0,1
profile_000010,treatment,0,0
profile_000011,control,1,1
profile_000012,treatment,1,1
profile_000013,control,0,0
profile_000014,treatment,1,1
profile_000015,control,0,1
profile_000016,treatment,1,1
profile_000017,control,1,1
profile_000018,control,1,1
profile_000019,control,0,0
profile_000020,treatment,1,1
profile_000021,treatment,0,1
profile_000022,treatment,0,0
profile_000023,control,1,1
profile_000024,treatment,1,1
profile_000025,treatment,1,1
profile_000026,treatment,0,1
profile_000027,control,0,1
profile_000028,treatment,1,1
profile_000029,treatment,1,1
profile_000030,control,1,1
profile_000031,treatment,1,1
profile_000032,control,1,1
profile_000033,control,0,1
profile_000034,control,1,1
profile_000035,control,1,1
profile_000036,control,0,0
profile_000037,control,0,0
profile_000038,control,1,1
profile_000039,treatment,1,1
profile_000040,control,1,1
profile_000041,control,1,1
profile_000042,treatment,1,1
profile_000043,control,1,1
profile_000044,control,1,1
profile_000045,treatment,1,1
profile_000046,treatment,0,0
profile_000047,control,1,1
profile_000048,treatment,0,0
profile_000049,treatment,1,1
profile_000050,treatment,1,1
profile_000051,control,1,1
profile_000052,treatment,1,1
profile_000053,control,0,0
profile_000054,control,1,1
profile_000055,treatment,1,1
profile_000056,treatment,0,0
profile_000057,treatment,1,1
profile_000058,control,0,1
profile_000059,control,1,1
profile_000060,control,1,1
profile_000061,control,0,1
profile_000062,control,0,1
profile_000063,treatment,1,1
profile_000064,control,1,1
profile_000065,control,1,1
profile_000066,control,0,1
profile_000067,control,1,1
profile_000068,control,0,0
profile_000069,control,1,1
profile_000070,control,1,1
profile_000071,control,1,1
profile_000072,control,1,1
profile_000073,treatment,0,0
profile_000074,control,0,0
profile_000075,control,1,1
profile_000076,control,0,0
profile_000077,control,0,1
profile_000078,control,1,1
profile_000079,treatment,1,1
profile_000080,control,1,1
profile_000081,treatment,1,1
profile_000082,control,1,1
profile_000083,treatment,1,1
profile_000084,control,1,1
profile_000085,treatment,1,1
profile_000086,control,0,0
profile_000087,control,1,1
profile_000088,treatment,1,1
profile_000089,control,0,1
profile_000090,treatment,1,1
profile_000091,treatment,1,1
profile_000092,control,1,1
profile_000093,treatment,0,1
profile_000094,control,0,1
profile_000095,control,1,1
profile_000096,treatment,1,1
profile_000097,treatment,0,0
profile_000098,treatment,0,0
profile_000099,treatment,1,1
profile_000100,control,1,1
profile_000101,control,1,1
profile_000102,treatment,1,1
profile_000103,treatment,0,0
profile_000104,treatment,0,1
profile_000105,control,1,1
profile_000106,treatment,1,1
profile_000107,treatment,0,1
profile_000108,control,1,1
profile_000109,control,0,1
profile_000110,control,0,1
profile_000111,control,0,0
profile_000112,control,0,0
profile_000113,control,1,1
profile_000114,control,1,1
profile_000115,treatment,1,1
profile_000116,control,1,1
profile_000117,treatment,1,1
profile_000118,treatment,1,1
profile_000119,control,0,0
profile_000120,control,1,1
profile_000121,control,1,1
profile_000122,control,0,0
profile_000123,control,0,0
profile_000124,control,1,1
profile_000125,control,1,1
profile_000126,control,0,1
profile_000127,control,0,0
profile_000128,treatment,1,1
profile_000129,control,0,1
profile_000130,control,1,1
profile_000131,control,1,1
profile_000132,treatment,0,1
profile_000133,treatment,1,1
profile_000134,treatment,1,1
profile_000135,control,1,1
profile_000136,control,1,1
profile_000137,control,1,1
profile_000138,control,0,0
profile_000139,treatment,0,0
profile_000140,control,1,1
profile_000141,treatment,1,1
profile_000142,control,0,1
profile_000143,treatment,1,1
profile_000144,control,0,0
profile_000145,control,1,1
profile_000146,treatment,1,1
profile_000147,control,1,1
profile_000148,control,1,1
profile_000149,control,1,1
profile_000150,control,1,1
profile_000151,control,1,1
profile_000152,treatment,0,1
profile_000153,control,1,1
profile_000154,treatment,1,1
profile_000155,treatment,0,0
profile_000156,control,0,1
profile_000157,control,0,1
profile_000158,control,1,1
profile_000159,control,1,1
profile_000160,treatment,1,1
profile_000161,control,1,1
profile_000162,control,0,1
profile_000163,control,1,1
profile_000164,treatment,1,1
profile_000165,control,1,1
profile_000166,treatment,1,1
profile_000167,control,0,1
profile_000168,control,1,1
profile_000169,treatment,0,0
profile_000170,treatment,0,0
profile_000171,control,1,1
profile_000172,control,1,1
profile_000173,treatment,1,1
profile_000174,control,0,0
profile_000175,treatment,1,1
profile_000176,treatment,1,1
profile_000177,control,0,1
profile_000178,treatment,1,1
profile_000179,treatment,1,1
profile_000180,treatment,1,1
profile_000181,treatment,1,1
profile_000182,control,1,1
profile_000183,treatment,1,1
profile_000184,treatment,0,0
profile_000185,control,1,1
