profile_id,variant,timely_success,eventual_success
profile_000001,treatment,1,1
profile_000002,treatment,1,1
profile_000003,treatment,0,1
profile_000004,control,1,1
profile_000005,control,1,1
profile_000006,treatment,0,0
profile_000007,treatment,1,1
profile_000008,treatment,1,1
profile_000009,treatment,1,1
profile_000010,control,1,1
profile_000011,control,0,0
profile_000012,treatment,1,1
profile_000013,treatment,1,1
profile_000014,treatment,1,1
profile_000015,treatment,0,1
profile_000016,treatment,1,1
profile_000017,treatment,0,0
profile_000018,control,1,1
profile_000019,control,1,1
profile_000020,control,1,1
profile_000021,treatment,0,1
profile_000022,control,0,1
profile_000023,treatment,0,1
profile_000024,control,1,1
profile_000025,control,0,1
profile_000026,control,0,1
profile_000027,treatment,1,1
profile_000028,control,0,0
profile_000029,control,0,0
profile_000030,treatment,1,1
profile_000031,control,1,1
profile_000032,treatment,1,1
profile_000033,control,0,1
profile_000034,treatment,0,1
profile_000035,treatment,0,0
profile_000036,treatment,1,1
profile_000037,control,1,1
profile_000038,treatment,0,0
profile_000039,treatment,0,0
profile_000040,treatment,1,1
profile_000041,control,1,1
profile_000042,treatment,1,1
profile_000043,control,0,0
profile_000044,control,1,1
profile_000045,control,1,1
profile_000046,treatment,0,1
profile_000047,treatment,1,1
profile_000048,control,1,1
profile_000049,control,1,1
profile_000050,treatment,0,0
profile_000051,treatment,1,1
profile_000052,control,1,1
profile_000053,treatment,1,1
profile_000054,control,0,1
profile_000055,control,0,1
profile_000056,treatment,1,1
profile_000057,control,0,1
profile_000058,control,1,1
profile_000059,treatment,0,0
profile_000060,control,0,0
profile_000061,control,0,0
profile_000062,control,1,1
profile_000063,treatment,1,1
profile_000064,treatment,1,1
profile_000065,treatment,1,1
profile_000066,control,1,1
profile_000067,control,0,1
profile_000068,treatment,1,1
profile_000069,control,1,1
profile_000070,treatment,0,1
profile_000071,treatment,1,1
profile_000072,control,1,1
profile_000073,treatment,1,1
profile_000074,treatment,1,1
profile_000075,control,0,0
profile_000076,control,0,1
profile_000077,treatment,0,1
profile_000078,control,0,0
profile_000079,treatment,1,1
profile_000080,control,1,1
profile_000081,treatment,1,1
profile_000082,treatment,1,1
profile_000083,treatment,1,1
profile_000084,control,1,1
profile_000085,treatment,1,1
profile_000086,treatment,0,0
profile_000087,control,1,1
