n_per_arm,primary_power,accuracy_power,joint_power,joint_mc_low,joint_mc_high
500,0.16382249716082972,0.19647376642927095,0.0904,0.0827630136164552,0.0986658878169356
1000,0.28082318726887107,0.29915942204060125,0.1624,0.15243690728381978,0.1728814450694828
1500,0.3930729455556556,0.3914479214172588,0.2492,0.23740614677477778,0.2613789325208629
2000,0.4959233504239227,0.47459866124544486,0.3364,0.3234338525035358,0.34961733957288693
2500,0.5870422579833604,0.5489121334941258,0.4264,0.41275358098096154,0.4401594247453509
3000,0.6656976387554835,0.6147183086406015,0.51,0.49614137445684164,0.5238432715042572
3500,0.7321945341257718,0.6724889788078356,0.5752,0.5614460126118797,0.5888385250155839
4000,0.7874543448468146,0.7228115956892017,0.6464,0.6330405712930076,0.6595346455774795
4500,0.8327148919843101,0.7663424898895848,0.7032,0.6903849657273041,0.7157030402022247
5000,0.869326824350903,0.803764940015494,0.7458,0.7335457133129133,0.7576768844108968
5500,0.8986232698544304,0.8357571284263337,0.787,0.7754333401677951,0.7981259989157423
6000,0.9218428594153242,0.862969690064215,0.8262,0.8154472060035272,0.8364519452475176
6500,0.9400900636711231,0.8860112147498125,0.8592,0.8492832320770629,0.8685652508456081
7000,0.9543204603130743,0.9054399044124042,0.8824,0.8731761005484862,0.8910367610039343
7500,0.965341757801614,0.9217597863600593,0.9082,0.8998801495302052,0.9158930986018502
8000,0.9738240256176599,0.9354201700477403,0.9216,0.9138215488513559,0.9287311248685719
8500,0.9803146295529545,0.9468173149271103,0.9394,0.9324432117954192,0.9456821317352647
9000,0.9852549089116178,0.9562975209020742,0.9524,0.9461430548218944,0.957962328458218
9500,0.9889967486533264,0.9641610541381286,0.9606,0.954844476243093,0.9656483167251204
10000,0.9918179824434529,0.9706664817215229,0.964,0.9584698886851402,0.9688176839098468
10500,0.9939360923285299,0.9760351141706186,0.976,0.9713782624881674,0.9798908852601383
